r_id,r_name,instructions,description,cooking_time,writer_id
261567,chinese crab   corn soup,"['heat oil in pot', 'add onion , garlic , ginger and chili and saute until softened', 'add sherry and reduce by half', 'add crab , corn , stock , soy sauce , salt , pepper , and simmer for 8 minutes', 'stir in spinach and season', 'remove from heat ,', 'add eggs and stir into pot with a fork , forming ribbons']","this was so good on an autumn night.  this was the first course, from my ""one pot"" cookbook",30,1
355386,tunisian fish stew with potatoes,"['put all the ingredients except the oil , fish and herbs in a pan with the water or chicken broth', 'simmer for 25 minutes or until the potatoes are tender', 'stir in the extra virgin olive oil and add the fish', 'cook for another 10 minutes , then gently break up the fillets into smaller pieces and add the herbs', 'season and serve']","there are fish stews with potatoes and tomatoes in every country around the mediterranean. this one is herby, aromatic and slightly peppery. to balance the flavours, start with just a little harissa or chili powder and add more later if you wish. use any white fish such as hake, cod, haddock or turbot and serve with some toasted bread.",50,1
420632,donna s vegan pumpkin muffins,"['preheat oven to 400 degrees f', 'lighly grease a 12-cup muffin pan or use liners', 'sift together flour , sugar , powder , salt , and spices', 'in a separate bowl , blend remaining ingredients except optional items', 'pour wet ingredients into dry and stir with a spooon until moistened', ""don't overmix"", 'fill muffin cups evenly', 'mine always end up very full', 'bake 18-20 minutes , or 15 minutes on convection', 'test to see that tops spring back when lightly touched', 'cool on a wire rack']","this family-favorite eggless recipe turns out muffins that are moist, delicious, low in sugar and healthy in a snap!

i cook, puree, and freeze pumpkin & dense winter squashes in 1-cup quantities to use in this recipe, but canned pumpkin is fine, too.",25,1
270022,island pancakes,"['drain pineapple and reserve liquid', 'in a large bowl , mix the oats , milk , oil , banana , eggs , and 1 / 2 cup of the reserved pineapple juice', 'mix flour , baking powder and salt', 'add to oat mixture', 'beat well', 'in a small saucepan , blend the cornstarch and syrup until smooth', 'stir in 1 / 2 cup reserved pineapple juice', 'cook , stirring constantly , for 2-3 minutes until syrup begins to thicken', 'stir in pineapple pieces and remove from heat', 'heat griddle', 'spray lightly with cooking spray', 'pour batter onto hot griddle , about 1 / 4 cup per pancake', 'cook until batter bubbles and edges begin to look dry', 'flip and cook until golden brown', 'serve pancakes with warm pineapple sauce']",these melt-in-your-mouth pancakes make a special breakfast treat!,25,1
450539,easy chicken   broccoli casserole,"['put brown rice into rice cooker , add salt to taste', 'pour chicken broth into rice cooker to just above the ""4"" line', 'cook', 'preheat oven to 350', 'while rice is cooking , pour olive oil into skillet and heat on medium heat', 'add chicken and season to taste', 'cook chicken until juices run clear , add broccoli and water', 'cook 5 minutes then add cream of chicken', 'turn heat to low and simmer until rice is cooked', 'pour cooked rice into grease baking pan and top with chicken and broccoli mixture', 'gently mix together , then smooth evenly in pan', 'sprinkle cheese evenly over top', 'bake until cheese is melted', 'serve and enjoy']","i was trying to find something quick and healthy for my kids one day, and while rummaging through the pantry i came across these ingredients and decided to throw them together. it was an instant hit!",20,1
364317,calico okra,"['preheat grill to medium', 'place cast-iron skillet on grill rack', 'heat oil in skillet', 'add onion , bell pepper strips & garlic', 'cook & stir 1 minute', 'add okra , thyme & broth', 'toss lightly to mix', 'heat until broth is steaming', 'cover & cook over medium heat 10 minutes', 'season with salt & pepper to taste']",this recipe is from a local grocery store.,18,1
437695,sarasota s black bean chorizo chili,"['chorizo and vegetables -- in a large pot , add the olive oil and bring to medium high heat', 'add the chorizo and saute until golden brown', 'reduce the heat to medium and add in the celery , onion , garlic , red and green peppers , jalapenos , chipotles and cook 4-5 minutes until the vegetables begin to soften', 'beans and sauce -- add the beans , tomatoes , chicken broth , chili powder , cumin , and oregano and mix well', 'simmer of medium low to low heat for 1 our', 'after 30 minutes , check for seasoning , and if you want a little more heat you could add a little chipotle sauce', 'but be careful - it is a subtle heat', ""don't add too much"", ""finish -- after an hour , it's time to enjoy"", 'finish by squeezing in 1 / 2 of the lime , cilantro and adding the corn', 'cook just another couple of minutes to heat up the corn', 'serve -- i like the favorites', 'served with diced avocado , salsa , cheese , black olives , sour cream and the lime wedges', 'corn bread as always with chili - on the side or you can use some tortilla chips', 'blue corn chips are great with this', 'enjoy !']","my absolute favorite. every time i serve this i get requests for the recipe. it is spicy, but you can easily adjust the seasoning to your liking. the chorizo adds a nice warm spicy flavor and creamy beans are the perfect mix. it makes a big pot, and has quite a few ingredients, but it is well worth it and it really isn't very hard. now, i like to simmer it a good hour before serving, so i like to make this when i have a little time, and it is one of those dishes that is even better the next day. serve this like any chili ... with a side of corn bread and topped with your favorites; avocado, salsa, black olives, sour cream and cheese are my favorites.",75,1
104755,gluten free chocolate chip cookies,"['beat margarine , sugar and egg in a small bowl with an electric mixer until light and fluffy', 'transfer mixture to a large bowl', 'stir in sifted flours and chocolate , mix well', 'roll tablespoons of mixture into balls', 'place 5cm apart onto greased oven trays', 'flatten slightly', 'cook in a moderate oven , for about 20 minutes , or until lightly browned', 'stand on tray for 5 minutes', 'transfer to a wire rack to cool', 'decorate cookies by drizzling with extra melted chocolate']",this is a must for anyone wanting gluten-free cookies.  taken from womans day.  these to me taste better than the usual choc chip cookies.,30,1
430586,coconut banana cream pie  raw vegan,"['blend the crust indgredients in a food processor', 'add more agave if needed to make crust sticky', 'line pie pan with saran wrap and press crust on top or use a tart pan with a removable bottom', 'place in freezer while making the filling', 'blend the pie ingredients , except banana slices , in a blender until smooth', 'make sure there is enough liquid to have the ingredients swirling in a vortex', 'add coconut water , if needed', 'take crust out from freezer and place sliced bananas on top of crust', 'pour filling on top of bananas', 'place in freezer for 3-4 hours to set', 'decorate with walnuts , coconut shavings , or banana slices :d']","this recipe comes from vanessa sherwood at gliving.com.  however, i simplify this much further and omit the salt, coconut oil, and use dates instead of the agave and it is still amazing!  for me its much healthier and easier that way but i'm leaving all the options here for you to decide what if you want them or not.  you can substitute dates for the agave nectar - one large medjool (soaked & blended) for each tablesoon agave.  i just keep ""date paste"" standing by for stuff like this.  since your using so much young thai coconut meat you can always use the water for this delicious & energizing drink: recipe #427475  enjoy!!   (cook time is set time)",200,1
457436,island teriyaki,"['combine first 6 ingredients', 'cut meat across grain into strips 1 inch wide', 'add meat to soy marinade , stirring to coat', 'let stand 15 minutes at room temperature', 'lace strips accordian-style on skewers', 'broil 5 inches from heat 5-7 minutes or until cooked rare to medium-rare , turning frequently and basting with soy marinade', 'alternatively , you can grill these', 'serve hot as an appetizer']",street hawkers on the polynesian islands cook this over coals.,30,1
135662,mama s best  macaroni and cheese,"['make a roux by melting butter in pan and adding flour', 'stir constantly and cook until it is the color of caramel candy', 'it burns easily so stir stir stir !', 'slowly and carefully add milk while stirring', 'when milk starts to steam add cheese and seasonings and stir until melted and well combined', 'pour over cooked macaroni noodles and serve']","my kids say this is better than 'the blues' and gobble it up, even when i toss in a handful of cooked veggies like broccoli, peas, carrots, etc.... make it a one dish meal with some tuna, cooked ham, etc... it is just as easy as the 'blue box' at least i think so and it is much healthier!",20,1
62423,iced tea  sweet,"['place the 6 cups of water and the tea bag in a microwave safe container', 'push the tea bag down into the water to thoroughly soak the tea bag', 'microwave in high power for 7 minutes', 'remove and let rest 5 minutes', 'heat the 1 cup of water in the microwave on high until it just starts to boil', 'remove and slowly pour in the 1 cup of sugar , stirring to dissolve', 'when the sugar has completely dissolved , add this mixture into the 6 cups of brewed tea', 'squeeze the tea bag and discard', ""add the 4 cups of commercial ice to the brewed tea and dissolved'sugar water' mixture"", 'to serve , pour into a glass or mug that has been filled with additional ice', 'serve with a fresh lemon or lime wedge']",clone of a popular place here.,15,1
