r_id,t_id
74347,30
74347,17
74347,151
74347,51
74347,152
74347,18
74347,53
74347,153
74347,19
74347,42
74347,154
74347,76
74347,32
74347,47
74347,155
286586,2
286586,3
286586,10
286586,4
286586,156
286586,55
286586,157
286586,13
286586,129
286586,31
286586,158
286586,76
286586,65
313178,79
313178,2
313178,3
313178,10
313178,4
313178,22
313178,23
313178,24
313178,8
313178,159
313178,27
313178,15
313178,92
313178,28
313178,29
313178,44
313178,73
313178,18
313178,31
313178,65
223953,2
223953,3
223953,10
223953,4
223953,103
223953,11
223953,22
223953,160
223953,7
223953,66
223953,25
223953,15
223953,16
223953,28
223953,30
223953,44
223953,18
223953,101
223953,143
223953,32
223953,65
195441,20
195441,2
195441,3
195441,10
195441,34
195441,4
195441,35
195441,36
195441,103
195441,22
195441,55
195441,13
195441,37
195441,128
195441,161
195441,162
195441,8
195441,61
195441,25
195441,26
195441,95
195441,15
195441,83
195441,28
195441,29
195441,163
195441,18
195441,153
195441,42
195441,32
195441,97
216470,2
216470,3
216470,4
216470,35
216470,22
216470,132
216470,7
216470,15
216470,16
216470,18
216470,42
216470,65
272722,1
272722,2
272722,3
272722,10
272722,4
272722,35
272722,11
272722,48
272722,12
272722,111
272722,13
272722,8
272722,60
272722,150
272722,15
272722,17
272722,164
272722,18
272722,114
272722,127
272722,165
272722,42
477504,1
477504,2
477504,3
477504,34
477504,4
477504,35
477504,166
477504,98
477504,24
477504,167
477504,8
477504,61
477504,26
477504,15
477504,16
477504,92
477504,30
477504,40
477504,168
477504,73
477504,18
477504,42
477504,43
181109,20
181109,2
181109,3
181109,10
181109,34
181109,4
181109,35
181109,36
181109,7
181109,66
181109,37
181109,8
181109,169
181109,60
181109,38
181109,14
181109,15
181109,16
181109,18
181109,101
181109,143
181109,170
181109,171
181109,57
181109,42
181109,43
181109,76
181109,33
171838,20
171838,2
171838,3
171838,10
171838,34
171838,4
171838,35
171838,36
171838,7
171838,136
171838,37
171838,128
171838,8
171838,87
171838,60
171838,38
171838,105
171838,39
171838,14
171838,172
171838,15
171838,51
171838,57
171838,42
171838,43
171838,109
171838,76
171838,47
171838,173
20081,54
20081,2
20081,3
20081,10
20081,34
20081,4
20081,35
20081,48
20081,66
20081,115
20081,13
20081,174
20081,175
20081,15
