ri_id,r_id,i_id,amount,unit
1870,181259,742,2,tablespoons
1871,181259,338,2,slices
1872,174011,743,1,28 ounce
1873,174011,8,1,tablespoon
1874,174011,48,1,medium
1875,174011,103,1,stalk
1876,174011,208,1,14 1/2 ounce
1877,174011,207,1⁄4,cup
1878,174011,34,1,teaspoon
1879,174011,58,1⁄2,cup
1880,174011,744,2⁄3,cup
1881,174011,714,1⁄8,teaspoon
1882,257525,84,12,empire
1883,257525,391,2,cinnamon
1884,257525,16,1⁄2,cup
1885,257525,86,1⁄2,teaspoon
1886,257525,745,2,tablespoons
1887,286428,103,1⁄2,cup
1888,286428,48,1⁄2,cup
1889,286428,381,1⁄4,cup
1890,286428,8,2,teaspoons
1891,286428,746,1,cup
1892,286428,747,6,ounces
1893,286428,16,1 1⁄4,cups
1894,286428,168,1⁄4,cup
1895,286428,9,1⁄2,teaspoon
1896,286428,748,1⁄2,teaspoon
1897,286428,140,1⁄4,teaspoon
1898,286428,749,1,lb
1899,77804,227,1,21 ounce
1900,77804,45,1⁄2,cup
1901,77804,750,1,18 1/4 ounce
1902,77804,4,1⁄2,cup
1903,77804,166,1,teaspoon
1904,181982,751,4,toaster
1905,181982,516,1⁄2,lb
1906,181982,2,2,large
1907,227825,33,4,ounces
1908,227825,247,4,ounces
1909,227825,752,4,ounces
1910,227825,753,7,ounces
1911,41318,725,3,lbs
1912,41318,48,1 1⁄2,cups
1913,41318,49,3,cloves
1914,41318,34,3⁄4,cup
1915,41318,348,2,tablespoons
1916,41318,17,1 1⁄2,teaspoons
1917,41318,702,1⁄4,teaspoon
1918,41318,94,2,cups
1919,41318,353,1,cup
1920,41318,16,1⁄2,cup
1921,41318,95,1⁄4,cup
1922,41318,166,2,tablespoons
1923,131111,754,2,lbs
1924,131111,755,2,1 ounce
1925,131111,756,1,8 ounce
1926,499460,45,1⁄2,cup
1927,499460,2,1,egg
1928,499460,83,1,cup
1929,499460,30,1,cup
1930,499460,12,1,cup
1931,499460,32,2,teaspoons
1932,499460,17,1⁄2,teaspoon
1933,499460,501,1,cup
1934,499460,249,2,quarts
1935,499460,757,4,ounces
1936,499460,758,,plain
1937,199537,759,3,6 ounce
1938,199537,164,2,26 ounce
1939,199537,577,1,12 ounce
1940,199537,199,1,8 ounce
1941,199537,760,1,8 ounce
1942,199537,364,10,ounces
1943,199537,140,,pepper
1944,199537,17,,salt
1945,92813,761,1,8 ounce
1946,92813,762,3⁄4,cup
1947,92813,763,8,small
1948,92813,764,4,pieces
1949,129779,62,100,g
1950,129779,765,1,cup
1951,129779,766,100,g
1952,3212,767,1,cup
1953,3212,501,1,cup
1954,3212,30,2,cups
1955,3212,31,2,teaspoons
1956,3212,32,1⁄4,teaspoon
1957,3212,17,1⁄2,teaspoon
1958,3212,399,2,teaspoons
1959,3212,14,2,teaspoons
1960,3212,65,1,teaspoon
1961,3212,2,4,eggs
1962,3212,322,2,cups
1963,3212,768,1,cup
1964,3212,769,16,ounces
1965,332411,770,200,g
1966,332411,131,200,g
1967,332411,771,100,g
1968,332411,436,1⁄4,cup
1969,332411,501,100,g
1970,332411,662,200,g
1971,332411,8,4,tablespoons
1972,332411,166,2,tablespoons
1973,242485,772,4 1⁄2,ounces
1974,242485,540,3,ounces
1975,242485,773,1,fluid
1976,242485,774,,coke
1977,242485,572,,lime
1978,270455,775,3⁄4,lb
1979,270455,2,3⁄4,egg
1980,270455,484,1⁄4,cup
1981,270455,9,,garlic
1982,270455,776,,onion
1983,270455,17,,salt
1984,270455,140,,pepper
1985,270455,755,1,1 1/4 ounce
1986,270455,629,2,cups
1987,14240,606,1,3 lb
1988,14240,777,1⁄4,cup
1989,14240,778,1,cup
1990,14240,77,,salt
1991,460247,208,1 1⁄2,cups
1992,460247,779,1⁄2,cup
1993,460247,780,2,tablespoons
1994,460247,170,2,tablespoons
1995,460247,232,1⁄8,teaspoon
1996,460247,140,1⁄8,teaspoon
1997,76133,781,1⁄2 - 1,lb
1998,76133,782,1⁄4,cup
1999,76133,783,1,16 ounce
2000,76133,292,1⁄2,lb
2001,76133,784,6,slices
2002,76133,45,1⁄4,cup
2003,216100,283,3,cups
2004,216100,287,1 1⁄2,cups
2005,216100,105,1,teaspoon
2006,216100,53,1⁄2,teaspoon
2007,216100,475,1⁄4,teaspoon
2008,216100,785,8,ounces
2009,216100,682,2,14 1/2 ounce
2010,216100,72,1⁄4,cup
2011,216100,51,1⁄3,cup
2012,216100,716,1⁄3,cup
2013,216100,8,2,teaspoons
2014,29637,573,2,lbs
2015,29637,75,2,garlic
2016,29637,127,1,28 ounce
2017,29637,405,1,8 ounce
2018,29637,126,1,6 ounce
2019,29637,17,1 1⁄2,teaspoons
2020,29637,12,2,teaspoons
2021,29637,601,8,ounces
2022,29637,92,1,16 ounce
2023,29637,47,1,8 ounce
2024,29637,72,1,bunch
2025,29637,199,2,cups
2026,185371,786,6,cups
2027,185371,34,1⁄2 - 1,cup
2028,185371,787,1⁄2,cup
2029,185371,788,1⁄2,cup
2030,185371,153,1,tablespoon
2031,185371,399,1⁄4,teaspoon
2032,185371,134,1⁄4,teaspoon
2033,185371,789,1⁄4,teaspoon
2034,295761,85,2,cups
2035,295761,12,1⁄4,cup
2036,295761,32,1,tablespoon
2037,295761,17,1⁄2,teaspoon
2038,295761,3,6,tablespoons
2039,295761,16,2⁄3,cup
2040,295761,2,2,eggs
2041,98208,746,10,ounces
2042,98208,286,1 1⁄2,cups
2043,98208,2,2,large
2044,98208,45,3,tablespoons
2045,98208,30,1⁄4,cup
2046,98208,48,1⁄8,cup
2047,98208,790,4,ounces
2048,98208,184,1⁄4,lb
2049,98208,17,1⁄4,teaspoon
2050,98208,125,1⁄8,teaspoon
2051,98208,791,2,drops
2052,98208,792,1,slice
2053,98208,793,1⁄4,cup
2054,169041,794,1,16 ounce
2055,169041,291,2,1
2056,169041,119,1,cup
2057,169041,48,1⁄2,cup
2058,169041,103,1,cup
2059,169041,75,2,garlic
2060,169041,192,1,bay
2061,169041,795,2,teaspoons
2062,169041,796,1⁄4,teaspoon
2063,169041,437,1⁄4,teaspoon
2064,169041,17,1,tablespoon
2065,169041,140,1⁄2,teaspoon
2066,169041,180,1 1⁄2,quarts
2067,119262,797,1,chicken
2068,119262,45,4,tablespoons
2069,119262,166,1,tablespoon
2070,119262,107,1⁄2,teaspoon
2071,119262,708,1⁄2,teaspoon
2072,119262,727,1⁄2,teaspoon
2073,119262,17,1⁄4,teaspoon
2074,119262,125,1⁄4,teaspoon
2075,164149,798,1,ounce
2076,164149,799,1⁄2,ounce
2077,164149,540,1⁄2,ounce
2078,379733,800,1⁄4,cup
2079,379733,523,1⁄4,cup
2080,379733,125,1,teaspoon
2081,379733,439,1⁄4,cup
2082,379733,237,1,teaspoon
2083,379733,17,2,teaspoons
2084,379733,3,1⁄4,cup
2085,379733,171,1⁄4,cup
2086,379733,525,1⁄4,cup
2087,379733,75,2,garlic
2088,379733,72,1,bunch
2089,379733,295,1,lemon
2090,379733,75,1,garlic
2091,379733,801,1,3 ounce
2092,379733,802,5,lbs
2093,428713,3,1⁄4,cup
2094,428713,17,1⁄4,teaspoon
2095,428713,98,1⁄4,teaspoon
2096,428713,514,3,pita
2097,118365,8,3,tablespoons
2098,118365,166,1,tablespoon
2099,118365,126,1,tablespoon
2100,118365,803,1,tablespoon
2101,118365,804,1,tablespoon
2102,118365,359,6,ounces
2103,118365,805,1,14 ounce
2104,118365,806,1,14 ounce
2105,118365,6,2,tomatoes
2106,118365,72,4,green
2107,118365,170,4 1⁄2,ounces
2108,118365,807,,salt
2109,391788,808,1⁄2,lb
2110,391788,8,3 1⁄4,teaspoons
2111,391788,17,1⁄2,teaspoon
2112,391788,140,1⁄2,teaspoon
2113,391788,48,1,onion
2114,391788,809,8,ounces
2115,391788,455,5,ounces
2116,391788,2,3,large
2117,391788,337,1,cup
2118,391788,549,1,ounce
2119,82142,188,2,large
2120,82142,49,1,clove
2121,82142,810,2,large
2122,82142,8,1⁄4,cup
2123,82142,281,1,tablespoon
2124,82142,95,1,teaspoon
2125,82142,811,1,teaspoon
2126,82142,125,3⁄4,tablespoon
2127,82142,812,1⁄2,teaspoon
2128,82142,17,1⁄2,teaspoon
2129,82142,48,1,medium
2130,352359,234,2 -3,tablespoons
2131,352359,628,1,tablespoon
2132,352359,626,2,tablespoons
2133,352359,73,2,tablespoons
2134,352359,220,1 -2,tablespoon
2135,352359,49,1,teaspoon
2136,352359,17,1⁄4,teaspoon
2137,352359,140,1⁄4,teaspoon
2138,352359,813,2,6 -7 1/8 ounce
2139,352359,814,3,tablespoons
2140,352359,815,1,teaspoon
2141,352359,311,4,large
2142,352359,345,4,large
2143,171839,816,12,5 ounce
2144,171839,22,1,cup
2145,171839,817,1,cup
2146,171839,712,2,tablespoons
2147,171839,18,1,quart
2148,171839,818,12,sugar
2149,46491,819,4 -5,clementines
2150,46491,2,6,large
2151,46491,322,1,cup
2152,46491,27,1,tablespoon
2153,46491,32,2 1⁄3,cups
2154,326279,820,1,15 ounce
2155,326279,3,3⁄4,cup
2156,326279,12,2,tablespoons
2157,326279,2,1 1⁄2,cups
2158,326279,85,3,eggs
2159,326279,31,2 1⁄2,cups
2160,326279,17,3⁄4,teaspoon
2161,326279,307,3⁄4,teaspoon
2162,326279,301,3⁄4,teaspoon
2163,326279,14,3⁄4,teaspoon
2164,326279,817,2,teaspoons
2165,19586,821,2 1⁄2 - 3 1⁄2,lbs
2166,19586,133,,garlic
2167,19586,165,1,envelope
2168,19586,822,1,16 ounce
2169,19586,16,1,cup
2170,516658,823,4,tablespoons
2171,516658,247,,one
2172,516658,17,1⁄4,teaspoon
2173,516658,824,6,cups
2174,516658,556,1,10 ounce
2175,516658,45,,rainbow
2176,352593,2,3,eggs
2177,352593,83,500,ml
2178,352593,825,1,cup
2179,352593,280,1,lemon
2180,352593,826,3,cups
2181,352593,827,1⁄4,cup
2182,265598,373,1,lb
2183,265598,610,1,10 ounce
2184,265598,92,1,8 ounce
2185,265598,347,1,cup
2186,71517,48,1,small
2187,71517,828,1,cup
2188,71517,33,1⁄4,cup
2189,71517,206,1,can
2190,71517,829,1⁄2,cup
2191,71517,830,1,can
2192,71517,16,3⁄4,cup
2193,71517,17,1,teaspoon
2194,71517,140,1⁄8,teaspoon
2195,171456,831,1,9 ounce
2196,171456,364,1,cup
2197,171456,832,1,8 ounce
2198,171456,83,1⁄2,cup
2199,171456,718,1,9 ounce
2200,296814,833,1,pie
2201,296814,339,2,slices
2202,296814,2,2,eggs
2203,296814,834,1,cup
2204,296814,48,1⁄4,cup
2205,296814,259,1⁄4,cup
2206,296814,6,1,small
2207,296814,140,1⁄8,teaspoon
2208,296814,17,1,pinch
2209,296814,369,1⁄4,teaspoon
2210,296814,184,1,cup
2211,103695,835,2 1⁄2,lbs
2212,103695,48,1,large
2213,103695,49,2,cloves
2214,103695,119,4 -5,carrots
2215,103695,103,2 -3,stalks
2216,103695,434,4,potatoes
2217,103695,200,1,16 ounce
2218,103695,77,,salt
2219,103695,673,1 1⁄2,teaspoons
2220,103695,126,2,tablespoons
2221,103695,45,3 -4,tablespoons
2222,103695,85,1⁄3,cup
2223,432674,123,1,lb
2224,432674,17,1,teaspoon
2225,432674,100,1,teaspoon
2226,432674,95,2,tablespoons
2227,432674,836,5,slices
2228,72379,287,2,cups
2229,72379,12,1⁄2,cup
2230,72379,643,4,egg
2231,72379,86,1,tablespoon
2232,348256,837,10,lbs
2233,348256,838,5 -7,beef
2234,348256,48,2,large
2235,348256,839,,canning
2236,238484,62,1,cup
2237,238484,12,3⁄4,cup
2238,238484,2,1,egg
2239,238484,162,1 1⁄2,teaspoons
2240,238484,30,2,cups
2241,238484,532,3⁄4,teaspoon
2242,238484,17,1⁄2,teaspoon
2243,238484,307,1⁄4,teaspoon
2244,238484,765,1,cup
2245,238484,83,3,tablespoons
2246,251821,840,1,20 ounce
2247,251821,12,1⁄2,cup
2248,251821,14,1,tablespoon
2249,387293,165,1 1⁄2 - 2,lbs
2250,387293,16,1⁄2,cup
2251,387293,95,1 -2,tablespoon
2252,387293,2,1,egg
2253,387293,484,3⁄4,cup
2254,387293,133,2,teaspoons
2255,387293,164,,about
2256,368694,501,1,cup
2257,368694,828,1,cup
2258,368694,16,7,cups
2259,368694,17,1⁄8,teaspoon
2260,368694,841,,maple
2261,98330,2,2,eggs
2262,98330,12,3⁄4,cup
2263,98330,162,1,teaspoon
2264,98330,45,1⁄2,cup
2265,98330,842,3⁄4,cup
2266,98330,843,2⁄3,cup
2267,98330,32,1⁄4,teaspoon
2268,98330,17,1⁄4,teaspoon
2269,98330,501,1⁄2,cup
2270,98330,817,1,cup
2271,1527,188,2,chicken
2272,1527,48,1,onion
2273,1527,844,3,peppercorns
2274,1527,845,1,lb
2275,1527,49,1,clove
2276,1527,118,,to
2277,1527,8,1,tablespoon
2278,1527,446,6,corn
2279,1527,148,,to
2280,41338,273,8,tablespoons
2281,41338,83,1⁄2,cup
2282,41338,85,1⁄2,cup
2283,41338,2,2,eggs
2284,41338,102,,fresh
2285,41338,61,,confectioners
2286,117243,846,16,ounces
2287,117243,83,2,cups
2288,117243,17,1⁄2,teaspoon
2289,117243,583,2,3 ounce
2290,117243,12,3⁄4,cup
2291,117243,273,3⁄4,lb
2292,117243,551,3⁄4,cup
2293,117243,45,1⁄4,cup
2294,413116,8,1,cup
2295,413116,49,2 -3,heads
2296,413116,237,6,red
2297,413116,797,5 -6,lbs
2298,413116,665,4,yellow
2299,413116,682,2,16 ounce
2300,413116,449,6 - 7 1⁄2,cups
2301,413116,847,20 -25,saffron
2302,413116,701,2 - 2 1⁄2,teaspoons
2303,413116,848,4 -5,cups
2304,413116,849,2,16 ounce
2305,413116,359,1,lb
2306,413116,850,20 -24,jumbo
2307,413116,600,20 -24,clams
2308,413116,295,4 -5,lemons
2309,279585,311,2,10 inch
2310,279585,851,2,tablespoons
2311,279585,45,1 1⁄2,teaspoons
2312,8432,278,2,pork
2313,8432,48,1⁄2,medium
2314,8432,339,1 -2,slice
2315,8432,45,2,tablespoons
2316,8432,304,2,tablespoons
2317,8432,16,3⁄4,cup
2318,8432,151,,salt
2319,195661,852,24,medium
2320,195661,853,1,16 ounce
2321,195661,47,8,ounces
2322,195661,148,2,ounces
2323,195661,480,1,tablespoon
2324,195661,51,2,tablespoons
2325,337089,657,2,teaspoons
2326,337089,854,2,tablespoons
2327,337089,855,1 1⁄2,lbs
2328,337089,8,2,tablespoons
2329,337089,232,3⁄4,teaspoon
2330,337089,222,1⁄4,teaspoon
2331,496713,856,2 1⁄2,cups
2332,496713,11,2,pints
2333,496713,625,3,ounces
2334,496713,696,8,ounces
2335,496713,857,1,teaspoon
2336,240036,858,1,2 liter
2337,240036,225,1,14 ounce
2338,37370,859,2,cans
2339,37370,6,2,large
2340,37370,511,1,cup
2341,37370,7,3,leaves
2342,37370,457,3⁄4,cup
2343,37370,8,1⁄8,cup
2344,37370,77,,salt
2345,253715,860,1,lb
2346,253715,30,1⁄3,cup
2347,253715,213,2,egg
2348,253715,553,1 1⁄3,cups
2349,253715,118,,oil
2350,253715,335,1,12 ounce
2351,253715,861,1,tablespoon
2352,458654,862,1,cup
2353,458654,455,1,cup
2354,458654,572,1⁄8,lime
2355,458654,863,3,pitted
2356,458654,864,2,large
2357,458654,671,1,cup
2358,355798,596,1,20 ounce
2359,355798,2,1,egg
2360,355798,12,1,cup
2361,355798,45,1⁄2,cup
2362,355798,792,6 -10,slices
2363,73929,45,2,tablespoons
2364,73929,221,1 1⁄2,teaspoons
2365,73929,865,1⁄2,teaspoon
2366,73929,95,1,teaspoon
2367,73929,17,1⁄2,teaspoon
2368,73929,9,1⁄2,teaspoon
2369,73929,683,1⁄8,teaspoon
2370,73929,776,1⁄8,teaspoon
2371,73929,187,1⁄8,teaspoon
2372,73929,395,1 1⁄2,cups
2373,73929,232,1,tablespoon
2374,17982,802,1,lb
2375,17982,206,1,cup
2376,17982,384,2,cups
2377,17982,73,1,small
2378,17982,49,2,cloves
2379,17982,191,1⁄2,teaspoon
2380,17982,689,1,teaspoon
2381,58329,249,1,pint
2382,58329,866,3,kiwi
2383,58329,867,1,head
2384,58329,453,1,avocado
2385,58329,166,2,teaspoons
2386,58329,3,1⁄3,cup
2387,58329,523,3,tablespoons
2388,58329,536,3,tablespoons
2389,58329,868,6,drops
2390,58329,77,,salt
2391,107246,613,1,lb
2392,107246,339,4,ounces
2393,107246,45,2,tablespoons
2394,107246,331,1⁄2,cup
2395,107246,869,4,cups
2396,107246,172,1,cup
2397,107246,287,1⁄2,cup
2398,107246,870,1⁄4,cup
2399,58250,245,1,13 ounce
2400,58250,12,3,cups
2401,58250,2,4,eggs
2402,58250,13,6,tablespoons
2403,58250,45,1⁄4,lb
2404,58250,871,1,teaspoon
2405,58250,17,1⁄4,teaspoon
2406,58250,553,2,cups
2407,58250,4,1 1⁄2,cups
2408,58250,872,2,9
2409,340909,737,2 -3,cups
2410,340909,48,1,small
2411,340909,75,2,garlic
2412,340909,3,1,teaspoon
2413,340909,164,1,10 ounce
2414,340909,83,1⁄2,cup
2415,340909,206,1⁄2 - 1,cup
2416,340909,94,2,tablespoons
2417,340909,873,1,teaspoon
2418,340909,140,,pepper
2419,307131,249,3,large
2420,307131,101,4,ounces
2421,307131,695,1⁄2,hass
2422,307131,477,1,tablespoon
2423,307131,874,2,cups
2424,307131,875,2,ounces
2425,307131,171,2,ounces
2426,307131,457,2,tablespoons
2427,271681,30,2,cups
2428,271681,32,1,teaspoon
2429,271681,31,1⁄2,teaspoon
2430,271681,680,3⁄4,cup
2431,271681,3,3,tablespoons
2432,271681,2,2,eggs
2433,271681,265,2,bananas
2434,381652,876,1,8 ounce
2435,381652,877,2,tablespoons
2436,381652,9,1⁄4,teaspoon
2437,381652,776,1⁄4,teaspoon
2438,381652,878,1⁄4,teaspoon
2439,381652,437,1⁄4,teaspoon
2440,381652,133,1⁄4,teaspoon
2441,381652,350,1⁄8,teaspoon
2442,381652,75,1,garlic
2443,381652,83,2,tablespoons
2444,130723,328,15,ounces
2445,130723,324,3,tablespoons
2446,130723,166,1,tablespoon
2447,130723,75,1,garlic
2448,130723,513,1⁄2,teaspoon
2449,130723,220,1⁄4,small
2450,130723,239,,cilantro
2451,409134,533,1,can
2452,409134,34,3,tablespoons
2453,409134,86,3 1⁄4,teaspoons
2454,409134,879,1,teaspoon
2455,409134,880,3⁄4,cup
2456,93914,797,3,lbs
2457,93914,559,2⁄3,cup
2458,93914,45,1,tablespoon
2459,93914,17,1 1⁄4,teaspoons
2460,93914,98,1 1⁄2,teaspoons
2461,93914,140,1⁄4,teaspoon
2462,310932,45,1⁄2,cup
2463,310932,712,1⁄2,cup
2464,310932,12,1,cup
2465,310932,34,1,cup
2466,310932,2,2,eggs
2467,310932,86,1,tablespoon
2468,310932,32,1,teaspoon
2469,310932,31,1,teaspoon
2470,310932,85,2,cups
2471,310932,881,1,cup
2472,310932,37,1,cup
2473,310932,39,1⁄2,cup
2474,310932,122,1⁄2,cup
2475,310932,22,1⁄2,cup
2476,310932,817,1⁄2,cup
2477,310932,264,1⁄2,cup
2478,36105,2,3,eggs
2479,36105,769,1,15 ounce
2480,36105,12,3⁄4,cup
2481,36105,59,1⁄2,cup
2482,36105,162,1,teaspoon
2483,36105,14,3⁄4,teaspoon
2484,36105,882,1,9 inch
2485,36105,883,1,cup
2486,36105,23,,whipped
2487,73354,470,4,scallions
2488,73354,234,2,tablespoons
2489,73354,49,1 1⁄2,tablespoons
2490,73354,3,1,tablespoon
2491,73354,12,1,teaspoon
2492,73354,262,2,tablespoons
2493,73354,884,1,tablespoon
2494,73354,191,2,teaspoons
2495,73354,17,1⁄2,teaspoon
2496,73354,140,1⁄2,teaspoon
2497,73354,885,2,lbs
2498,73354,102,1⁄3,cup
2499,73354,332,3,tablespoons
2500,73354,886,2,teaspoons
2501,73354,887,1 1⁄2,teaspoons
2502,73354,345,1 1⁄2,teaspoons
2503,40393,30,1 1⁄2,cups
2504,40393,888,2,teaspoons
2505,40393,889,2,teaspoons
2506,40393,32,1,teaspoon
2507,40393,125,1⁄2,teaspoon
2508,40393,153,1⁄4,teaspoon
2509,40393,17,1⁄4,teaspoon
2510,40393,399,1⁄8,teaspoon
2511,40393,62,3⁄4,cup
2512,40393,274,1⁄2,cup
2513,40393,322,1⁄2,cup
2514,40393,2,1,large
2515,40393,890,1⁄8,cup
2516,40393,22,1⁄2,cup
2517,499970,101,16,ounces
2518,499970,453,2,avocados
2519,499970,696,,monterey
2520,499970,477,1⁄4,cup
2521,499970,222,1,tablespoon
2522,499970,9,1,teaspoon
2523,499970,221,1,teaspoon
2524,499970,776,1,teaspoon
2525,499970,513,1,teaspoon
2526,499970,17,1,teaspoon
2527,431876,429,1⁄4,cup
2528,431876,105,1,teaspoon
2529,431876,28,1⁄2,teaspoon
2530,431876,125,,black
2531,431876,841,1 1⁄2,tablespoons
2532,431876,8,5,tablespoons
2533,466362,3,3,tablespoons
2534,466362,73,2,red
2535,466362,640,2,large
2536,466362,637,1 1⁄2,lbs
2537,466362,75,2,garlic
2538,466362,350,1,pinch
2539,466362,295,1,lemon
2540,466362,45,2,tablespoons
2541,466362,436,2,tablespoons
2542,466362,77,,salt
2543,338863,119,1,carrot
2544,338863,75,1,garlic
2545,338863,512,1,19 ounce
2546,338863,195,1 1⁄2,teaspoons
2547,338863,196,1 1⁄2,teaspoons
2548,338863,151,,salt
2549,338863,2,1,large
2550,338863,460,2,tablespoons
2551,338863,118,,oil
2552,338863,891,2,slices
2553,338863,6,1,tomatoes
2554,338863,220,1,red
2555,185735,892,2,cups
2556,185735,12,1⁄2,cup
2557,185735,33,2⁄3,cup
2558,185735,553,3,cups
2559,185735,225,2,14 ounce
2560,185735,893,1 1⁄2,cups
2561,185735,244,1,12 ounce
2562,217560,180,2,cups
2563,217560,639,2,chicken
2564,217560,9,1,pinch
2565,217560,125,1⁄4,teaspoon
2566,217560,145,2,tablespoons
2567,217560,304,3,tablespoons
2568,162304,894,1,12 ounce
2569,162304,895,2,tablespoons
2570,162304,105,1,tablespoon
2571,162304,166,1,tablespoon
2572,162304,75,2,garlic
2573,162304,776,1⁄2,teaspoon
2574,162304,896,1,15 1/2 ounce
2575,162304,50,1,cup
2576,162304,51,1⁄2,cup
2577,162304,98,,paprika
2578,57692,897,1,lb
2579,57692,898,10,small
2580,57692,367,3,small
2581,57692,8,1⁄4,cup
2582,57692,810,2,lemons
2583,57692,627,1⁄2,teaspoon
2584,57692,77,,salt
2585,57692,804,1⁄2,teaspoon
2586,18638,725,1,lb
2587,18638,609,1,lb
2588,18638,48,1,small
2589,18638,373,1,16 ounce
2590,18638,350,,cayenne
2591,18638,428,,red
2592,18638,899,1,loaf
2593,234926,3,2,teaspoons
2594,234926,900,1 1⁄2,tablespoons
2595,234926,901,1,13 1/2 ounce
2596,234926,902,2,tablespoons
2597,234926,903,2,tablespoons
2598,234926,234,1 1⁄2,teaspoons
2599,234926,101,1,boneless
2600,234926,128,1⁄3,cup
2601,234926,904,1⁄4,cup
2602,234926,905,22,ounces
2603,234926,906,,unbleached
2604,234926,511,2,cups
2605,234926,73,1⁄2,red
2606,234926,119,1⁄3,cup
2607,234926,235,3,basil
2608,49339,365,2,packages
2609,49339,907,1,cup
2610,49339,438,1⁄3,cup
2611,49339,2,1,egg
2612,49339,48,1⁄2,cup
2613,49339,17,1⁄2,teaspoon
2614,49339,908,1,bag
2615,49339,94,,additional
2616,304282,45,1,cup
2617,304282,34,3⁄4,cup
2618,304282,680,1⁄2,cup
2619,304282,86,1,tablespoon
2620,304282,2,2,large
2621,304282,85,2 3⁄4,cups
2622,304282,17,1⁄2,teaspoon
2623,304282,32,1 1⁄2,teaspoons
2624,304282,31,1⁄2,teaspoon
2625,304282,418,1 1⁄2,cups
2626,304282,458,1 1⁄2,cups
2627,304282,909,1,cup
2628,272959,213,2,cups
2629,272959,910,1⁄2,cup
2630,272959,6,1⁄2,cup
2631,272959,911,1⁄2,cup
2632,272959,640,1⁄2,cup
2633,272959,328,1⁄2,cup
2634,272959,912,4,small
2635,272959,28,,sea
2636,272959,913,,fresh
2637,339540,914,1 1⁄2,lbs
2638,339540,915,1 1⁄2,lbs
2639,339540,11,2 3⁄4,cups
2640,339540,331,1⁄2,cup
2641,339540,916,1,tablespoon
2642,339540,8,1 1⁄2,tablespoons
2643,339540,289,1⁄2,cup
2644,339540,716,1⁄2,cup
2645,339540,917,2,tablespoons
2646,339540,51,3,cups
2647,162698,918,25,pieces
2648,162698,245,1⁄2,cup
2649,162698,30,1,cup
2650,162698,316,1,cup
2651,162698,34,3⁄4,cup
2652,162698,31,1⁄2,teaspoon
2653,162698,17,1⁄4,teaspoon
2654,162698,45,3⁄4,cup
2655,162698,244,1,cup
2656,162698,501,1⁄2,cup
2657,62954,338,1,loaf
2658,62954,339,4,slices
2659,62954,73,1⁄2,red
2660,62954,2,6,eggs
2661,62954,51,2,tablespoons
2662,62954,919,2,ounces
2663,62954,6,1,medium
2664,62954,184,1⁄2,cup
2665,62954,206,4,ounces
2666,105734,920,1,lb
2667,105734,45,3,tablespoons
2668,105734,51,1⁄2,cup
2669,105734,2,2,eggs
2670,105734,725,1,lb
2671,105734,48,1⁄2,cup
2672,105734,49,2,cloves
2673,105734,682,1,14 1/2 ounce
2674,105734,126,1,6 ounce
2675,105734,12,1,teaspoon
2676,105734,107,1,teaspoon
2677,105734,286,2,cups
2678,105734,511,1⁄2,cup
2679,428953,921,8,cups
2680,428953,922,3,cups
2681,428953,444,2,cups
2682,428953,34,2 1⁄2,cups
2683,428953,14,1,teaspoon
2684,428953,66,1,teaspoon
2685,428953,75,3,garlic
2686,428953,17,1,teaspoon
2687,428953,54,1,teaspoon
2688,164560,923,4,ounces
2689,164560,612,6,ounces
2690,164560,924,2,tablespoons
2691,164560,925,2,teaspoons
2692,164560,255,,whipped
2693,164560,752,1,tablespoon
2694,19697,188,1,lb
2695,19697,926,1,16 ounce
2696,19697,927,3,tablespoons
2697,19697,17,,salt
2698,19697,140,,pepper
2699,19697,928,,tortilla
2700,320314,367,5,medium
2701,320314,48,1,medium
2702,320314,929,1,cup
2703,320314,348,1 1⁄2,teaspoons
2704,320314,12,1,teaspoon
2705,320314,17,1⁄8,teaspoon
2706,320314,140,1⁄8,teaspoon
2707,256826,930,3,3
2708,256826,665,2,yellow
2709,256826,119,1,carrot
2710,256826,103,2,stalks
2711,256826,75,4,garlic
2712,256826,192,2,garlic
2713,256826,748,1,bay
2714,256826,931,1⁄4,cup
2715,256826,932,1⁄3,cup
2716,256826,8,1⁄2,teaspoon
2717,256826,77,2,tablespoons
2718,292884,651,1 1⁄4,ounces
2719,292884,933,1 1⁄4,ounces
2720,292884,934,3⁄4,ounce
2721,292884,558,,pineapple
2722,373341,458,2,cups
2723,373341,45,1,cup
2724,373341,322,1 1⁄4,cups
2725,373341,2,3,eggs
2726,373341,85,2 1⁄4,cups
2727,373341,325,1⁄4,cup
2728,373341,31,1⁄4,teaspoon
2729,373341,17,1,dash
2730,373341,178,1,cup
2731,373341,935,3⁄4,cup
2732,373341,162,2,teaspoons
2733,373341,4,1,cup
2734,373341,182,,powdered
2735,308858,93,1⁄4,cup
2736,308858,936,1,tablespoon
2737,308858,891,8,slices
2738,308858,937,1⁄2,lb
2739,308858,550,4,slices
2740,308858,367,16,slices
2741,308858,345,4,lettuce
2742,95493,47,11,ounces
2743,95493,665,1⁄2,small
2744,95493,166,2,tablespoons
2745,95493,95,2,tablespoons
2746,95493,133,,garlic
2747,95493,353,,chili
2748,95493,938,1,6 ounce
2749,95493,436,,chopped
2750,268329,484,2 1⁄2,cups
2751,268329,533,1⁄2,cup
2752,268329,939,500,g
2753,268329,191,2,tablespoons
